Industry,Business Type,Business Type ID
Food & Beverage,Restaurant,BT_RESTAURANT
Food & Beverage,Fast Food Restaurant,BT_FAST_FOOD_RESTAURANT
Food & Beverage,Bakery,BT_BAKERY
Food & Beverage,Cafe,BT_CAFE
Food & Beverage,Bar,BT_BAR
Food & Beverage,Food Truck,BT_FOOD_TRUCK
Food & Beverage,Catering Business,BT_CATERING_BUSINESS
Food & Beverage,Ice Cream Shop,BT_ICE_CREAM_SHOP
Food & Beverage,Juice Bar,BT_JUICE_BAR
Food & Beverage,Commercial Kitchen,BT_COMMERCIAL_KITCHEN
Healthcare,Medical Office,BT_MEDICAL_OFFICE
Healthcare,Dental Office,BT_DENTAL_OFFICE
Healthcare,Pharmacy,BT_PHARMACY
Healthcare,Clinical Laboratory,BT_CLINICAL_LABORATORY
Healthcare,Mental Health Practice,BT_MENTAL_HEALTH_PRACTICE
Healthcare,Physical Therapy Clinic,BT_PHYSICAL_THERAPY_CLINIC
Healthcare,Veterinary Clinic,BT_VETERINARY_CLINIC
Healthcare,Urgent Care Center,BT_URGENT_CARE_CENTER
Healthcare,Medical Spa,BT_MEDICAL_SPA
Healthcare,Home Health Agency,BT_HOME_HEALTH_AGENCY
Professional Services,Law Firm,BT_LAW_FIRM
Professional Services,CPA Firm,BT_CPA_FIRM
Professional Services,Consulting Firm,BT_CONSULTING_FIRM
Professional Services,Marketing Agency,BT_MARKETING_AGENCY
Professional Services,Engineering Firm,BT_ENGINEERING_FIRM
Professional Services,Architecture Firm,BT_ARCHITECTURE_FIRM
Professional Services,Notary Services,BT_NOTARY_SERVICES
Professional Services,Translation Services,BT_TRANSLATION_SERVICES
Professional Services,Staffing Agency,BT_STAFFING_AGENCY
Information Technology,Software Company,BT_SOFTWARE_COMPANY
Information Technology,SaaS Company,BT_SAAS_COMPANY
Information Technology,IT Consulting Firm,BT_IT_CONSULTING_FIRM
Information Technology,Cybersecurity Firm,BT_CYBERSECURITY_FIRM
Information Technology,Managed Services Provider,BT_MANAGED_SERVICES_PROVIDER
Information Technology,Data Analytics Firm,BT_DATA_ANALYTICS_FIRM
Information Technology,Web Development Agency,BT_WEB_DEVELOPMENT_AGENCY
Retail,Clothing Store,BT_CLOTHING_STORE
Retail,Jewelry Store,BT_JEWELRY_STORE
Retail,Electronics Store,BT_ELECTRONICS_STORE
