Document ID,Document Name,Agency,Category,Required Fields
DOC_CERT_INCORPORATION,Certificate of Incorporation,Department of State,State,"business_name, entity_number, issue_date"
DOC_ARTICLES_ORGANIZATION,Articles of Organization,Department of State,State,"business_name, entity_number, issue_date"
DOC_DBA_REGISTRATION,DBA / Trade Name Registration,Department of State,State,"business_name, trade_name, issue_date"
DOC_EIN,IRS EIN Confirmation Letter,IRS,Federal,"business_name, ein"
DOC_MERCHANT_REGISTRATION,Merchant Registration Certificate (Registro de Comerciante),Departamento de Hacienda,State,"business_name, merchant_number, address"
DOC_SURI_REGISTRATION,SURI Account Registration,Departamento de Hacienda,State,"business_name, suri_account_number"
DOC_PERMISO_UNICO,Permiso Único,OGPe,Regulatory,"permit_number, business_name, address, expiration_date"
DOC_ZONING,Zoning / Use Certification,OGPe,Regulatory,"business_name, address, use_classification"
DOC_OCCUPANCY,Occupancy Documentation,OGPe,Regulatory,"business_name, address, issue_date"
DOC_PATENTE_MUNICIPAL,Patente Municipal,Municipal Government,Municipal,"business_name, municipality, account_number"
DOC_MUNICIPAL_REGISTRATION,Municipal Registration,Municipal Government,Municipal,"business_name, municipality, registration_number"
DOC_MUNICIPAL_TAX_COMPLIANCE,Municipal Tax Compliance Certificate,Municipal Government,Municipal,"business_name, municipality, issue_date"
DOC_HEALTH_PERMIT,Health / Sanitary Permit,Departamento de Salud,Regulatory,"permit_number, business_name, expiration_date"
DOC_FIRE_CERT,Fire Safety Certification (Certificado de Bomberos),Cuerpo de Bomberos,Regulatory,"certificate_number, business_name, expiration_date"
DOC_CFPM,Certified Food Protection Manager (CFPM),Departamento de Salud,Professional,"holder_name, certificate_number, expiration_date"
DOC_ALCOHOL_LICENSE,Alcohol Beverage License,Departamento de Hacienda,State,"license_number, business_name, expiration_date"
DOC_PROFESSIONAL_LICENSE,Professional License,Department of State Examining Boards,Professional,"holder_name, license_number, expiration_date"
DOC_CONTRACTOR_LICENSE,Contractor License,Department of State,Professional,"business_name, license_number, expiration_date"
DOC_TOURISM_REGISTRATION,Tourism Registration,Compañía de Turismo,Regulatory,"business_name, registration_number, expiration_date"
DOC_INSURANCE,General Liability Insurance Certificate,Insurance Carrier,Insurance,"business_name, policy_number, expiration_date"
DOC_WORKERS_COMP,Workers Compensation Insurance (CFSE),Corporación del Fondo del Seguro del Estado,Insurance,"business_name, policy_number, expiration_date"
DOC_LEASE_AGREEMENT,Lease Agreement,Property Owner,Property,"tenant_name, address, start_date, end_date"
DOC_PROPERTY_DEED,Property Deed (Escritura),Property Registry,Property,"owner_name, address"
DOC_FLOOR_PLANS,Floor Plans,Licensed Architect / Engineer,Property,"address, scale"
DOC_ENVIRONMENTAL_PERMIT,Environmental Permit,Junta de Calidad Ambiental / DRNA,Regulatory,"permit_number, business_name, expiration_date"
DOC_MEDICAL_WASTE_PERMIT,Medical Waste Management Permit,Junta de Calidad Ambiental,Regulatory,"permit_number, business_name, expiration_date"
DOC_SIGN_PERMIT,Sign / Rótulo Permit,Municipal Government,Municipal,"permit_number, business_name, address"
DOC_OUTDOOR_SEATING_AUTH,Outdoor Seating Authorization,Municipal Government,Municipal,"permit_number, business_name, address"
DOC_ENTERTAINMENT_PERMIT,Entertainment Permit,Municipal Government,Municipal,"permit_number, business_name, expiration_date"
DOC_IMPORT_EXPORT_REG,Import / Export Registration,Departamento de Hacienda,State,"business_name, registration_number"
DOC_HOME_DECLARATION,Home Business Declaration,Municipal Government,Municipal,"business_name, address"
DOC_CRIM_CLEARANCE,CRIM Property Tax Clearance,CRIM,Regulatory,"business_name, issue_date"
DOC_TRANSPORT_PERMIT,Transportation / PUC Permit,Comisión de Servicio Público,Regulatory,"business_name, permit_number, expiration_date"
DOC_VEHICLE_REGISTRATION,Commercial Vehicle Registration,DTOP,State,"business_name, plate_number, expiration_date"
DOC_CHILDCARE_LICENSE,Childcare / Education License,Departamento de la Familia / Educación,Regulatory,"business_name, license_number, expiration_date"
DOC_BACKGROUND_CHECK,Background Check Documentation (Certificado de Antecedentes Penales),Policía de Puerto Rico,Regulatory,"holder_name, issue_date"
DOC_PESTICIDE_LICENSE,Pesticide Applicator License,Departamento de Agricultura,Regulatory,"holder_name, license_number, expiration_date"
DOC_AGRICULTURE_REGISTRATION,Bona Fide Farmer Registration,Departamento de Agricultura,Regulatory,"business_name, registration_number"
DOC_FIREARMS_LICENSE,Weapons / Firearms Dealer License,Policía de Puerto Rico,Regulatory,"business_name, license_number, expiration_date"
DOC_NONPROFIT_REGISTRATION,Nonprofit Registration / 501(c)(3) Determination,IRS / Department of State,Federal,"organization_name, registration_number"
