Municipality,Municipality ID,Tourism,Coastal,Historic,Metro,Island
Adjuntas,MUN_ADJUNTAS,FALSE,FALSE,FALSE,FALSE,FALSE
Aguada,MUN_AGUADA,FALSE,TRUE,FALSE,FALSE,FALSE
Aguadilla,MUN_AGUADILLA,TRUE,TRUE,FALSE,FALSE,FALSE
Aguas Buenas,MUN_AGUAS_BUENAS,FALSE,FALSE,FALSE,FALSE,FALSE
Aibonito,MUN_AIBONITO,FALSE,FALSE,FALSE,FALSE,FALSE
Añasco,MUN_ANASCO,FALSE,TRUE,FALSE,FALSE,FALSE
Arecibo,MUN_ARECIBO,FALSE,TRUE,FALSE,FALSE,FALSE
Arroyo,MUN_ARROYO,FALSE,TRUE,FALSE,FALSE,FALSE
Barceloneta,MUN_BARCELONETA,FALSE,TRUE,FALSE,FALSE,FALSE
Barranquitas,MUN_BARRANQUITAS,FALSE,FALSE,FALSE,FALSE,FALSE
Bayamón,MUN_BAYAMON,FALSE,FALSE,FALSE,TRUE,FALSE
Cabo Rojo,MUN_CABO_ROJO,TRUE,TRUE,FALSE,FALSE,FALSE
Caguas,MUN_CAGUAS,FALSE,FALSE,FALSE,TRUE,FALSE
Camuy,MUN_CAMUY,FALSE,TRUE,FALSE,FALSE,FALSE
Canóvanas,MUN_CANOVANAS,FALSE,FALSE,FALSE,FALSE,FALSE
Carolina,MUN_CAROLINA,TRUE,TRUE,FALSE,TRUE,FALSE
Cataño,MUN_CATANO,FALSE,TRUE,FALSE,TRUE,FALSE
Cayey,MUN_CAYEY,FALSE,FALSE,FALSE,FALSE,FALSE
Ceiba,MUN_CEIBA,FALSE,TRUE,FALSE,FALSE,FALSE
Ciales,MUN_CIALES,FALSE,FALSE,FALSE,FALSE,FALSE
Cidra,MUN_CIDRA,FALSE,FALSE,FALSE,FALSE,FALSE
Coamo,MUN_COAMO,FALSE,FALSE,FALSE,FALSE,FALSE
Comerío,MUN_COMERIO,FALSE,FALSE,FALSE,FALSE,FALSE
Corozal,MUN_COROZAL,FALSE,FALSE,FALSE,FALSE,FALSE
Culebra,MUN_CULEBRA,TRUE,TRUE,FALSE,FALSE,TRUE
Dorado,MUN_DORADO,TRUE,TRUE,FALSE,FALSE,FALSE
Fajardo,MUN_FAJARDO,TRUE,TRUE,FALSE,FALSE,FALSE
Florida,MUN_FLORIDA,FALSE,FALSE,FALSE,FALSE,FALSE
Guánica,MUN_GUANICA,FALSE,TRUE,FALSE,FALSE,FALSE
Guayama,MUN_GUAYAMA,FALSE,TRUE,FALSE,FALSE,FALSE
Guayanilla,MUN_GUAYANILLA,FALSE,TRUE,FALSE,FALSE,FALSE
Guaynabo,MUN_GUAYNABO,FALSE,FALSE,FALSE,TRUE,FALSE
Gurabo,MUN_GURABO,FALSE,FALSE,FALSE,FALSE,FALSE
Hatillo,MUN_HATILLO,FALSE,TRUE,FALSE,FALSE,FALSE
Hormigueros,MUN_HORMIGUEROS,FALSE,FALSE,FALSE,FALSE,FALSE
Humacao,MUN_HUMACAO,TRUE,TRUE,FALSE,FALSE,FALSE
Isabela,MUN_ISABELA,TRUE,TRUE,FALSE,FALSE,FALSE
Jayuya,MUN_JAYUYA,FALSE,FALSE,FALSE,FALSE,FALSE
Juana Díaz,MUN_JUANA_DIAZ,FALSE,TRUE,FALSE,FALSE,FALSE
Juncos,MUN_JUNCOS,FALSE,FALSE,FALSE,FALSE,FALSE
Lajas,MUN_LAJAS,FALSE,TRUE,FALSE,FALSE,FALSE
Lares,MUN_LARES,FALSE,FALSE,FALSE,FALSE,FALSE
Las Marías,MUN_LAS_MARIAS,FALSE,FALSE,FALSE,FALSE,FALSE
Las Piedras,MUN_LAS_PIEDRAS,FALSE,FALSE,FALSE,FALSE,FALSE
Loíza,MUN_LOIZA,FALSE,TRUE,FALSE,FALSE,FALSE
Luquillo,MUN_LUQUILLO,TRUE,TRUE,FALSE,FALSE,FALSE
Manatí,MUN_MANATI,FALSE,TRUE,FALSE,FALSE,FALSE
Maricao,MUN_MARICAO,FALSE,FALSE,FALSE,FALSE,FALSE
Maunabo,MUN_MAUNABO,FALSE,TRUE,FALSE,FALSE,FALSE
Mayagüez,MUN_MAYAGUEZ,TRUE,TRUE,TRUE,FALSE,FALSE
Moca,MUN_MOCA,FALSE,FALSE,FALSE,FALSE,FALSE
Morovis,MUN_MOROVIS,FALSE,FALSE,FALSE,FALSE,FALSE
Naguabo,MUN_NAGUABO,FALSE,TRUE,FALSE,FALSE,FALSE
Naranjito,MUN_NARANJITO,FALSE,FALSE,FALSE,FALSE,FALSE
Orocovis,MUN_OROCOVIS,FALSE,FALSE,FALSE,FALSE,FALSE
Patillas,MUN_PATILLAS,FALSE,TRUE,FALSE,FALSE,FALSE
Peñuelas,MUN_PENUELAS,FALSE,TRUE,FALSE,FALSE,FALSE
Ponce,MUN_PONCE,TRUE,TRUE,TRUE,TRUE,FALSE
Quebradillas,MUN_QUEBRADILLAS,FALSE,TRUE,FALSE,FALSE,FALSE
Rincón,MUN_RINCON,TRUE,TRUE,FALSE,FALSE,FALSE
Río Grande,MUN_RIO_GRANDE,TRUE,TRUE,FALSE,FALSE,FALSE
